cluster_id,mean_abs_K,K_range,vertex_count,low_curvature_count,assigned_tasks
0,2385.753886136879,82640.73616290321,1073,372,1022
1,5180.135794057993,173040.95387561506,942,230,694
2,7364.137398949852,158508.1791635676,350,82,250
3,3388.6039011212947,58372.453643567795,821,203,610
4,6339.899909635257,139442.88900623797,369,64,217
5,6857.123974511208,130171.38110866783,1088,273,818
6,3864.3911152304504,42545.63648049708,780,204,603
7,5732.99217012478,70914.55492351494,935,162,550
